id,org_id,url,species,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,age,sex,size,coat,fixed,house_trained,declawed,special_needs,shots_current,env_children,env_dogs,env_cats,name,tags,photo,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ,accessed,type,description
46038708,NV184,https://www.petfinder.com/dog/speckles-46038708/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cattle Dog,Hound,TRUE,FALSE,NA,NA,NA,Baby,Female,Medium,Medium,TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,Speckles,NA,NA,adoptable,2019-09-20T04:59:44+0000,Henderson,NV,89052,US,89009,9/20/2019,Dog,"Speckles is a 4 month old Heeler/Hound mix who is a gentle girl and enjoys lots of cuddles from her foster mom. She is expected to be around 40 lbs when fully grown. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
46038703,NV184,https://www.petfinder.com/dog/cashew-46038703/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Italian Greyhound,Chihuahua,TRUE,FALSE,NA,NA,NA,Baby,Female,Small,Short,TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,Cashew,NA,NA,adoptable,2019-09-20T04:56:12+0000,Henderson,NV,89052,US,89009,9/20/2019,Dog,"Cashew is sweet girl who was born around July 8th. With her long legs, she should grow into a graceful dog but right now sheÃ¢Â€Â™s all clumsy puppy! She loves to cuddle almost as much as she likes to play. She weighs 3 lbs currently and is expected to be approximately 12 lbs when fully grown. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
46038700,NV184,https://www.petfinder.com/dog/dash-46038700/nv/henderson/wagging-tails-rescue-nv184/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cattle Dog,NA,TRUE,FALSE,NA,NA,NA,Baby,Male,Medium,Medium,TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,Dash,NA,NA,adoptable,2019-09-20T04:54:11+0000,Henderson,NV,89052,US,89009,9/20/2019,Dog,"Born May 26th, Dash is a handsome, spirited boy who will excel in an active home! He weighs 22 lbs currently and is expected to be approximately 50 lbs when fully grown. Meet me Saturday from 11 to 1 at Petco, 645 S. Green Valley Pkwy in Henderson.  If you are interested in adopting please submit an application at www.waggingtailsrescue.org."
46038243,NV155,https://www.petfinder.com/dog/sydney-46038243/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Border Collie,NA,TRUE,FALSE,Black,White / Cream,NA,Adult,Female,Medium,Short,TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,NA,Sydney,NA,NA,adoptable,2019-09-20T03:04:00+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Meet Sydney- SheÃ¢Â€Â™s a 5 year old Border Collie mix and is a high energy girl. SheÃ¢Â€Â™s a super lover when she gets to know you. She was brought back for being not friendly to the male in the home but hasnÃ¢Â€Â™t shown any kind of adverse reactions to men in public or at our facility. She is however less than friendly to other dogs now, which is a new issue we are going to have to work on. She lived with me a few years back and with my littles and my big with no issue. Sydney is spayed, chipped, and up to date on vaccines.  For more info please contact Desirea at 702-525-0518"
46038070,NV26,https://www.petfinder.com/dog/henna-46038070/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,Young,Female,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,HENNA,NA,NA,adoptable,2019-09-20T02:18:49+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038064,NV26,https://www.petfinder.com/dog/rubo-46038064/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,NA,TRUE,FALSE,NA,NA,NA,Adult,Male,Extra Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,RUBO,NA,NA,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038065,NV26,https://www.petfinder.com/dog/lego-46038065/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Schnauzer,Mixed Breed,TRUE,FALSE,NA,NA,NA,Adult,Male,Medium,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,LEGO,NA,NA,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038067,NV26,https://www.petfinder.com/dog/marie-46038067/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,Adult,Female,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,MARIE,NA,NA,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038068,NV26,https://www.petfinder.com/dog/ringo-46038068/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Boxer,NA,TRUE,FALSE,NA,NA,NA,Young,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,RINGO,NA,NA,adoptable,2019-09-20T02:18:48+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038060,NV26,https://www.petfinder.com/dog/tony-46038060/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,Young,Male,Medium,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,TONY,NA,NA,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038062,NV26,https://www.petfinder.com/dog/duncan-46038062/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,Young,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,DUNCAN,NA,NA,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038063,NV26,https://www.petfinder.com/dog/o-and-number-39connor-46038063/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,Adult,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,O&#39;CONNOR,NA,NA,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46038061,NV26,https://www.petfinder.com/dog/cream-46038061/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,Mixed Breed,TRUE,FALSE,NA,NA,NA,Baby,Male,Small,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,CREAM,NA,NA,adoptable,2019-09-20T02:18:47+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46037951,NV155,https://www.petfinder.com/dog/kimberly-aka-freckles-46037951/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Shepherd,Border Collie,TRUE,FALSE,"Tricolor (Brown, Black, & White)",NA,NA,Baby,Female,Medium,Short,TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,NA,Kimberly aka Freckles,NA,NA,adoptable,2019-09-20T02:14:12+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Hello my name is Kimberly Ã¢Â€ÂœFrecklesÃ¢Â€Â! I was born on April 22, 2019. IÃ¢Â€Â™m a very energetic pup with a feisty personality. IÃ¢Â€Â™m the smallest of the litter but still love to wrestle and play with my three siblings! We have been trained to use a doggie door. IÃ¢Â€Â™m still learning my commands so please be patient with me. I am a very smart girl and can't wait to meet my forever family!  For more info or to meet me please fill out an adoption interest form on our website at www.ahome4spot.com and then contact Desirea at 702-525-0518 or text Diana at 702-239-7986."
46037918,NV155,https://www.petfinder.com/dog/tina-46037918/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,Border Collie,TRUE,FALSE,Black,Golden,White / Cream,Baby,Female,Medium,Short,TRUE,TRUE,NA,FALSE,TRUE,NA,TRUE,NA,Tina,NA,NA,adoptable,2019-09-20T02:05:53+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Hello my name is Tina! I was born on April 22, 2019. I am a happy pup but a little shy.  I love to play all day with my three siblings! We have been trained to use a doggie door. IÃ¢Â€Â™m still learning my commands so please be patient with me. I am an absolute love and sweet girl.  I can't wait to find my forever family!  For more info or to meet me please fill out an adoption interest form on our website at www.ahome4spot.com and then text Diana at 702-239-7986"
46037881,NV187,https://www.petfinder.com/dog/max-46037881/nv/las-vegas/hearts-alive-village-las-vegas-nv187/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cocker Spaniel,Beagle,TRUE,FALSE,NA,NA,NA,Senior,Male,Medium,NA,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,TRUE,Max,NA,NA,adoptable,2019-09-20T01:59:01+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Max came to our rescue from a young man who had been his friend his whole life. But, he couldn't take care of Max any longer. Max is blind, but that doesn't stop him. He loves to wonder around and we've been amazed quickly he figures out new surroundings. At 16 yrs young, it's not surprising that Max likes to sleep quite a bit. He also loves to snuggle. Max has had a dental and his kisses are as fresh as can be.

For interest in this sweet senior please email info@havlv.com"
46037860,NV155,https://www.petfinder.com/dog/flower-46037860/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,NA,FALSE,FALSE,Yellow / Tan / Blond / Fawn,NA,NA,Adult,Female,Small,Short,TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,Flower,NA,NA,adoptable,2019-09-20T01:58:07+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Hi! My name is Flower.  I am a 5 year old female long hair chihuahua mix and weigh 8lbs.  I am a little scared right now as I was left at the shelter and then taken into rescue, so my world is a little flipped upside down.  However, I know that I am going to be just fine and I will find a loving forever home soon!  I am a little shy and intimidated with other dogs right now but I am learning that they are ok from my foster mom.  She is showing me what love is and that I can trust again.  I am a very sweet little girl and with time and patience I promise to the best dog ever if you adopt me.  I am spayed, microchipped, and up to date on vaccines,  For more info or to meet me please contact Diana 702 239 7986"
46037820,NV155,https://www.petfinder.com/dog/sparky-46037820/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,NA,FALSE,FALSE,White / Cream,NA,NA,Senior,Female,Small,Short,TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,Sparky,NA,NA,adoptable,2019-09-20T01:48:49+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Hi my name is Sparky and I am just that...full of life and feisty as can be.  I am a long hair chihuahua, 12 years young, and weigh 6.7lbs.  I am looking for a loving forever home to adopt me with my best friend, Zoey. I am very energetic and don't let my age fool you.  I love to talk and play and get along great with other small dogs.  Zoey and I promise to love you forever if you adopt us.  I am spayed, microchipped, and up to date on vaccines.  To meet me please contact  at  Diana at 702-239-7986. the pair will stay together."
46037762,NV155,https://www.petfinder.com/dog/zoey-46037762/nv/las-vegas/a-home-4-spot-nv155/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,NA,FALSE,FALSE,Golden,NA,NA,Senior,Female,Small,Short,TRUE,FALSE,NA,FALSE,TRUE,NA,TRUE,NA,Zoey,NA,NA,adoptable,2019-09-20T01:37:08+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Hi my name is Zoey and I am a sweet senior girl looking for love.  I am a long hair chihuahua, 12 years young and weigh 4.5lbs.  I am very calm and love to be held.  I am looking for a loving forever home with my best friend Sparky. We are two spunky girls and truly believe age is just a number.  If you are looking for loving companion, nap buddy, or shadow I am your girl.  I can be a little shy at first but once I get to know you I attach very quickly.  I still have a lot of love to give and please don't let my age stop you from meeting me.  I like other small dogs and am well mannered.  To meet me and make us a part of your forever home please text 702-239-7986 the dog on the second row is the boned sister we will not split them up.."
46037742,NV187,https://www.petfinder.com/dog/cabby-46037742/nv/las-vegas/hearts-alive-village-las-vegas-nv187/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Cocker Spaniel,NA,FALSE,FALSE,NA,NA,NA,Senior,Male,Medium,NA,TRUE,TRUE,NA,FALSE,FALSE,NA,NA,NA,Cabby,NA,NA,adoptable,2019-09-20T01:29:02+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Cabby is the sweetest mature gentleman. At 11 years young, he has found himself available to make a new family very happy. He just received a dental and is in incredibly great shape for his age. He loves to ride in the car, take trips to the park, or just hang out and watch TV. Cabby is neutered, up to date on vaccines, and has a microchip. For interest, please email info@havlv.com"
46037637,NV26,https://www.petfinder.com/dog/woody-maxum-46037637/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,Mixed Breed,TRUE,FALSE,NA,NA,NA,Adult,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,WOODY MAXUM,NA,NA,adoptable,2019-09-20T01:18:34+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46037534,NV187,https://www.petfinder.com/dog/butch-46037534/nv/las-vegas/hearts-alive-village-las-vegas-nv187/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,Senior,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,Butch,NA,NA,adoptable,2019-09-20T01:14:09+0000,Las Vegas,NV,89103,US,89009,9/20/2019,Dog,"Butch is a big lover! The family that surrendered him to the shelter said he was 10 yrs old, but we and our vet think he is younger. Hearts Alive Rescue has him now and we think he is very very special! He lived with other big dogs, cats, and children from babies to teenagers before. His old family filled out a paper and they describe him as smart and enthusiastic. He knows his basic commands: sit, stay, down, and come and he always let them know when he had to go potty outside. His previous family say he hides during storms and fireworks but loves his people so much and is very sweet and loyal. Butch caught a bad cold at the shelter and is being treated, but feeling so much better already. He is neutered, up to date on vaccines, and has a microchip.

Butch is ready to start his next chapter with his new family. Is it you!!?? please email info@havlv.com for interest"
46036459,NV26,https://www.petfinder.com/dog/crockett-46036459/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Boxer,NA,TRUE,FALSE,NA,NA,NA,Young,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,CROCKETT,NA,NA,adoptable,2019-09-19T23:18:14+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46035351,NV26,https://www.petfinder.com/dog/olga-46035351/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,NA,TRUE,FALSE,NA,NA,NA,Adult,Female,Small,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,OLGA,NA,NA,adoptable,2019-09-19T21:17:30+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46035350,NV26,https://www.petfinder.com/dog/sruffy-46035350/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,NA,TRUE,FALSE,NA,NA,NA,Adult,Male,Small,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,SRUFFY,NA,NA,adoptable,2019-09-19T21:17:30+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46035353,NV26,https://www.petfinder.com/dog/tonka-46035353/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dachshund,Mixed Breed,TRUE,FALSE,NA,NA,NA,Adult,Male,Small,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,TONKA,NA,NA,adoptable,2019-09-19T21:17:30+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46035346,NV26,https://www.petfinder.com/dog/bear-46035346/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Chihuahua,Mixed Breed,TRUE,FALSE,NA,NA,NA,Young,Male,Small,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,BEAR,NA,NA,adoptable,2019-09-19T21:17:29+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46035344,NV26,https://www.petfinder.com/dog/reuban-46035344/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Pug,Mixed Breed,TRUE,FALSE,NA,NA,NA,Young,Male,Medium,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,REUBAN,NA,NA,adoptable,2019-09-19T21:17:28+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46035342,NV26,https://www.petfinder.com/dog/ogie-46035342/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Terrier,NA,TRUE,FALSE,NA,NA,NA,Adult,Male,Small,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,OGIE,NA,NA,adoptable,2019-09-19T21:17:28+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
46034532,NV129,https://www.petfinder.com/dog/bella-46034532/nv/las-vegas/foreclosed-upon-pets-inc-fupi-nv129/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Labrador Retriever,Dachshund,TRUE,FALSE,Black,NA,NA,Young,Female,Medium,Short,TRUE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,NA,Bella,NA,NA,adoptable,2019-09-19T20:08:58+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,"Bella is a 1 year old Lab/Doxie mix weighing 38 pounds. She is all puppy and will need another dog or an active family. (please no children under 10). She was surrendered due to a change in the living situation.

Adoption fee $225.00

If interested, please complete an application at:

https://forecloseduponpets.org/dog-adoption-application/"
46033962,NV26,https://www.petfinder.com/dog/alfred-46033962/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,German Shepherd Dog,NA,TRUE,FALSE,NA,NA,NA,Adult,Male,Large,NA,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,ALFRED,NA,NA,adoptable,2019-09-19T19:17:19+0000,Las Vegas,NV,89101,US,89009,9/20/2019,Dog,NA
